#   N_BLOCK:  ACCEPTANCE:
           1     0.514264
           2     0.514129
           3     0.514127
           4     0.514121
           5     0.514141
           6     0.514088
           7     0.514026
           8     0.514121
           9      0.51403
          10     0.514007
          11      0.51396
          12     0.513976
          13     0.513959
          14      0.51394
          15     0.513955
          16     0.513923
          17     0.513925
          18     0.513975
          19      0.51404
          20     0.514054
          21     0.514071
          22     0.514067
          23     0.514045
          24     0.514061
          25     0.514055
          26     0.514078
          27     0.514071
          28      0.51407
          29     0.514058
          30      0.51407
